position_id | created_at          |
|     2591900 | 2016-12-18 15:16:51 |
|     2591889 | 2016-12-18 15:20:08 |
|     2591900 | 2016-12-18 15:50:24 |
|     1021362 | 2016-12-18 20:10:13 |
|     2504129 | 2016-12-18 20:15:57 |
|     2669141 | 2016-12-18 20:17:31 |
|     2198934 | 2016-12-18 21:11:27 |
|     2669283 | 2016-12-18 21:32:15 |
|     2669288 | 2016-12-18 21:33:24 |
|     2661852 | 2016-12-18 21:41:15 |
|     2661881 | 2016-12-18 21:42:40 |
|     2509490 | 2016-12-19 10:05:12 |
|     2509490 | 2016-12-19 10:11:19 |
|     2669312 | 2016-12-19 11:15:12 |
|     2645580 | 2016-12-19 11:17:27 |
|     2668640 | 2016-12-19 12:03:21 |
|     2669312 | 2016-12-19 12:56:41 |
|     2505753 | 2016-12-19 13:38:13 |
|     2609213 | 2016-12-19 13:41:40 |
|     1785010 | 2016-12-19 13:55:36 |
|     1338953 | 2016-12-19 14:05:49 |
|     2656947 | 2016-12-19 14:09:44 |
|     2369315 | 2016-12-19 14:49:29 |
|     1780338 | 2016-12-19 15:56:43 |
|     2250249 | 2016-12-19 16:13:33 |
|     1956334 | 2016-12-19 16:23:48 |
|     2209160 | 2016-12-19 16:26:52 |
|     2335385 | 2016-12-19 16:39:40 |
|     2459351 | 2016-12-19 17:25:27 |
|     2655235 | 2016-12-19 17:44:18 |
|     2668640 | 2016-12-19 19:14:20
